ID,availSlot_ID
54bf6628-39ce-11ef-b06b-325096b39f47,b6a1a019-3b99-4e2a-9e13-1c69f06467f2
54bf681c-39ce-11ef-a280-325096b39f47,a2d4a0b2-5512-4d8a-b2b8-23e49784d6f7
5468e90a-3d0e-11ef-ac01-325096b39f47,a2d4a0b2-5512-4d8a-b2b8-23e49784d6f7
5468eaea-3d0e-11ef-ba3a-325096b39f47,b1c3d4e5-6789-0abc-1234-5678def90123
5468eb58-3d0e-11ef-8766-325089b39f47,d2e3f4a5-6789-0abc-1234-5678ef901235
5468ebb2-3d0e-11ef-a16c-325089b39f47,f4a5b6c7-8901-2abc-3456-7890ef123459
5468ebf8-3d0e-11ef-b848-325089b39f47,c7d8e9f0-1234-5abc-6789-0123ef456786
5468ec3e-3d1e-11ef-b2fd-325096b39f47,d8e9f0a1-2345-6abc-7890-1234ef567897
5468ec84-3d2e-11ef-a448-325096b39f47,e9f0a1b2-3456-7abc-8901-2345ef678900
5468ecca-3d4e-11ef-9b9a-325096b39f47,c3d4e5f6-7890-1abc-2345-6789ef012346
5468ed06-3d8e-11ef-ab52-325096b39f47,d4e5f6a7-8901-2abc-3456-7890ef123459
